misparmb,nefashot,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,c32-39 - סך הוצאות לא מזון,F_norm Sedentary cheapest- סך הוצאה נמוכה למספר הסלים,c3~ F_norm sedentary cheapest,,,misparmb,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2,c3^,zu
12542,2,30183,1565,28619,"1,506.38",TRUE,,,12542,30183,1565,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
14480,2,7383,1570,5814,"1,506.38",TRUE,,,14480,7383,1570,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
10140,2,11418,1570,9847,"1,506.38",TRUE,,,10140,11418,1570,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
9589,2,7233,1572,5663,"1,506.38",TRUE,,,9589,7233,1572,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
44339,2,8654,1573,7080,"1,506.38",TRUE,,,44339,8654,1573,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
79418,2,8456,1574,6882,"1,506.38",TRUE,,,79418,8456,1574,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
78949,2,9563,1574,7990,"1,506.38",TRUE,,,78949,9563,1574,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
50708,2,7854,1575,6279,"1,585.66",TRUE,,,50708,7854,1575,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"15,308.01","15,308.01"
10199,2,9555,1578,7978,"1,506.38",TRUE,,,10199,9555,1578,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
50591,2,28070,1578,26492,"1,506.38",TRUE,,,50591,28070,1578,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
