misparmb,c3,FoodNorm-active,FoodNorm-sendetary,food_actual,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2
66696,3486,872.12,"2,457.78","2,328.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
30353,3500,872.12,"2,457.78","3,307.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
679,3503,872.12,"1,506.38","1,069.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
59279,3505,872.12,"1,506.38","1,958.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
71795,3505,872.12,"2,457.78","1,510.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
57620,3510,872.12,"2,457.78","1,499.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
52399,3514,872.12,"2,457.78","4,435.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
65243,3522,"1,189.25",634.27,"1,548.00",0,0,0,0,0,0,0,0,0,0,1,0,0,0
8417,3531,951.40,634.27,"2,827.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
42606,3559,"1,189.25",872.12,"5,352.00",0,0,0,0,0,0,0,0,1,0,0,0,0,0
23671,3566,"1,109.96","1,823.51","5,595.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
77685,3573,872.12,"1,823.51","1,505.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
50096,3575,872.12,"1,823.51","7,179.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
6395,3595,"2,378.50","1,506.38","5,100.00",0,1,0,0,0,0,0,1,0,0,0,1,0,0
88302,3595,"1,823.51","1,506.38","2,285.00",0,0,0,0,0,0,0,0,0,1,0,0,0,1
77214,3597,"3,250.61","2,299.21","2,186.00",0,0,0,0,0,0,1,0,0,0,0,0,1,1
73064,3599,"1,109.96","2,299.21","3,460.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
42861,3600,872.12,"2,299.21",877.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85175,3603,"1,109.96","2,457.78","1,899.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
13128,3606,"1,506.38","2,457.78",437.00,0,1,0,0,0,0,0,0,0,1,0,0,0,0
67199,3606,"1,109.96","2,457.78",712.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71753,3609,"1,109.96","3,884.88","3,728.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
77602,3611,872.12,"3,884.88",751.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13144,3615,"1,982.08","3,884.88","1,093.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
48397,3629,"1,109.96","3,884.88","1,847.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
79913,3631,"1,982.08","3,884.88",609.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1
73007,3633,872.12,"3,884.88",614.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35766,3637,"1,189.25",634.27,261.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29363,3639,"1,109.96","3,171.33","2,858.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
47589,3657,"3,488.46","3,171.33",521.00,0,1,1,0,0,0,0,0,0,1,1,0,0,0
25221,3663,"1,189.25","3,171.33","2,103.00",0,0,0,0,0,0,0,0,0,0,1,0,0,0
79616,3663,"1,109.96","3,171.33",51.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42648,3664,872.12,"3,171.33","1,969.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
83568,3664,"1,109.96","1,506.38","5,233.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
18317,3668,872.12,"1,506.38","2,357.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
90118,3673,872.12,"3,250.61","1,846.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
46755,3686,"1,109.96","3,250.61","5,365.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
45336,3696,872.12,"3,250.61","2,180.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
76000,3696,872.12,"3,250.61","1,530.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
56853,3697,872.12,"3,250.61","1,239.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
33753,3699,872.12,"1,427.10","6,476.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
73866,3700,"1,109.96","1,427.10","1,114.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
45393,3706,"2,140.65","3,250.61","1,710.00",0,0,0,0,0,0,0,0,1,1,0,0,0,0
42812,3718,872.12,"3,250.61","1,997.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
71910,3722,"1,189.25","3,250.61","2,720.00",0,0,0,0,0,0,0,0,1,0,0,0,0,0
